,file,group,subject,condition,series,channels,delay_avg,delay_std,delay_min,delay_max,dim_avg,dim_std,dim_min,dim_max
14_1,subject_14.set,high,14,condition 1,"[[ 1.35150030e-07 -3.59697968e-07  2.97436446e-07 ... -4.00016689e-06
  -2.26178408e-06  5.69524944e-07]
 [-2.16050434e-06 -4.09167242e-06 -3.12264872e-06 ... -4.03596282e-07
   5.74231982e-07  7.08612919e-07]
 [-3.12624097e-06 -3.93308258e-06 -3.38839722e-06 ...  1.02304626e-06
   2.17544508e-06  5.45493424e-07]
 ...
 [ 5.01442337e-06  7.00178289e-06  6.97729826e-06 ... -4.12786198e-06
  -4.63783979e-06 -5.56885302e-07]
 [ 1.36420870e-06  1.69186878e-06  2.70816827e-06 ...  2.06724334e-06
  -2.85872042e-07  1.94438607e-07]
 [ 2.90846038e-06  4.80656767e-06  3.05537295e-06 ...  4.07976580e-06
   2.08482933e-06  3.88518482e-07]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",25.75,4.5069390943299865,16.0,31.0,7.625,1.3169567191065923,5.0,11.0
14_2,subject_14.set,high,14,condition 2,"[[ 1.93733907e-06  3.26462054e-06  4.27335215e-06 ... -6.00552797e-06
  -6.35934877e-06 -5.69937468e-06]
 [-3.32135320e-07 -1.49417472e-06 -1.75115681e-06 ... -3.63723427e-07
  -3.05711603e-06 -2.70418620e-06]
 [ 3.21746737e-07  3.63830417e-07 -3.27474737e-06 ...  3.60343605e-07
  -1.38206542e-06 -2.67994881e-06]
 ...
 [ 1.19669282e-06  2.19001317e-06  5.28223658e-06 ... -1.05824292e-07
   2.56549025e-06  1.98518729e-06]
 [ 8.45753133e-07 -1.22404456e-06 -4.68496293e-07 ...  1.19103479e-06
   4.30209160e-06  3.35621643e-06]
 [-1.33021474e-06 -1.79448330e-06  1.12107134e-06 ...  3.00274754e-06
   4.35242987e-06  5.11008692e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",23.375,4.648588495446763,16.0,31.0,7.0,1.1726039399558574,6.0,10.0
14_3,subject_14.set,high,14,condition 3,"[[-3.32965469e-06 -1.57444859e-06 -1.44037259e-06 ... -1.22956777e-06
   1.32961714e-06  3.23403454e-06]
 [-5.13488233e-07 -1.69867769e-07 -2.04283285e-06 ... -2.15443363e-05
  -2.17593555e-05 -2.10810070e-05]
 [-1.65985429e-06 -2.12859347e-07 -2.36272621e-06 ... -3.15692806e-06
  -3.74790621e-06 -2.39352250e-06]
 ...
 [-1.37507355e-06 -2.09261012e-06  2.67886847e-07 ... -8.25085819e-07
  -4.79862064e-07  1.55781686e-07]
 [ 8.28862846e-07  2.86700819e-08  1.19572556e-06 ...  3.20706797e-06
   4.84629297e-06  4.97094345e-06]
 [ 2.16803312e-06 -1.19955981e-06 -7.60463476e-07 ... -4.51207638e-06
  -7.97072363e-06 -1.16200094e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",22.4375,4.860153675553891,11.0,29.0,7.4375,0.7880950133074057,6.0,9.0
14_4,subject_14.set,high,14,condition 4,"[[ 1.74740434e-06  2.34984612e-06  3.99671125e-06 ... -1.42206594e-07
  -6.28833055e-07 -1.91095221e-06]
 [-2.10550060e-05 -2.11907692e-05 -1.97400970e-05 ...  3.02908015e-06
   3.55690575e-06  3.27654910e-06]
 [-1.23672605e-06 -2.73155022e-06 -2.41432738e-06 ... -8.07951093e-07
  -6.07038856e-07  5.27621984e-07]
 ...
 [ 1.60957479e-06  2.67713666e-06 -6.03863522e-08 ... -5.32149315e-06
  -1.07795477e-05 -1.23846283e-05]
 [ 4.76424265e-06  5.20922089e-06  3.88598299e-06 ...  9.96155381e-07
   3.14267397e-07  1.27210867e-06]
 [-1.05566816e-05 -1.09284964e-05 -1.37105589e-05 ... -2.49735641e-06
  -2.50813437e-06 -1.91419911e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",25.3125,4.4821695360617495,15.0,31.0,7.9375,1.6758859597239903,6.0,13.0
14_5,subject_14.set,high,14,condition 5,"[[-3.44414663e-06 -3.80771279e-06 -3.88741326e-06 ... -3.60697895e-07
  -1.31907046e-06 -1.56423748e-06]
 [ 3.65591860e-06  2.55626273e-06  7.02142954e-07 ... -9.08270454e-06
  -8.38986015e-06 -8.82835197e-06]
 [ 9.07507420e-07 -4.09392864e-07 -3.34158212e-07 ...  3.25319028e-06
   2.88758111e-06  2.19723940e-06]
 ...
 [-1.04848623e-05 -1.02566595e-05 -6.15142298e-06 ...  2.97002339e-06
   5.34074306e-07 -2.89427519e-07]
 [ 4.09651041e-06  7.70644951e-06  9.32069588e-06 ...  9.73192394e-07
   4.03575510e-07  1.03806913e-06]
 [-1.21123981e-06 -5.77389777e-07 -3.79800260e-07 ... -1.60964811e-06
  -6.20388426e-09  6.93103433e-07]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",27.1875,2.1277555663186503,22.0,30.0,7.4375,1.3213984069916234,5.0,10.0
15_0,subject_15.set,high,15,condition 0,"[[ 7.75061429e-07  4.03362513e-06  5.66333723e-06 ...  3.76091886e-06
   1.91326404e-06  5.36916554e-07]
 [ 1.06048548e-06  3.28548741e-06  4.68295240e-06 ...  6.95568991e-06
   3.19866753e-06  4.77635574e-06]
 [ 5.89194179e-07  3.38745093e-06  5.27528381e-06 ...  5.68769550e-06
   4.03073883e-06  5.29247522e-06]
 ...
 [-4.82633740e-07 -3.26109862e-06 -3.89251375e-06 ... -4.99144173e-06
  -3.42223704e-07 -2.18296075e-06]
 [-4.64982361e-07 -3.18875599e-06 -4.01227093e-06 ... -1.82472861e-06
  -9.64391232e-07 -3.32703114e-06]
 [-4.44386780e-07 -2.55052853e-06 -2.79115677e-06 ... -8.19871521e-06
   1.76565573e-08 -2.24869394e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",16.1875,6.247186866902574,5.0,27.0,7.3125,0.582961190818051,7.0,9.0
15_1,subject_15.set,high,15,condition 1,"[[ 1.77380335e-06  5.76863945e-07 -5.17079353e-06 ...  6.23584747e-07
  -4.36388016e-06 -2.12426496e-06]
 [ 2.26852179e-06  3.10092306e-06  8.34756088e-06 ... -1.60929084e-06
  -1.51446092e-06  1.67288899e-06]
 [ 3.59116197e-06  4.16250181e-06  7.32479286e-06 ... -7.83564687e-07
  -1.32223284e-06  3.87476534e-07]
 ...
 [-3.27624631e-06 -1.95873821e-06 -8.76536012e-07 ... -1.26767862e-06
   1.40872419e-06 -3.99630040e-07]
 [-6.56511068e-06 -6.16321850e-06 -3.97538257e-06 ...  1.33956814e-06
   9.57122207e-07  1.52764928e-06]
 [-4.43862677e-07  1.37812591e-06 -1.04495811e-06 ... -3.89176440e-06
   6.12694323e-07 -3.46557379e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",19.1875,5.399291041423864,10.0,28.0,7.0,0.5,6.0,8.0
15_2,subject_15.set,high,15,condition 2,"[[-1.90068996e-06 -6.65800714e-06 -5.16416073e-06 ... -1.11088820e-05
  -7.84924650e-06 -3.67956161e-06]
 [ 8.87772799e-07 -3.32939076e-06 -2.77723742e-06 ... -1.35916910e-05
  -1.65672913e-05 -1.49307756e-05]
 [-8.12117875e-07 -3.90083027e-06 -2.95463610e-06 ... -1.14508162e-05
  -1.42028875e-05 -1.28577452e-05]
 ...
 [ 6.96582496e-07  6.28548479e-06  5.32440042e-06 ...  1.27776833e-05
   1.32507677e-05  1.05864658e-05]
 [ 5.06677628e-06  9.99307728e-06  7.01667500e-06 ...  1.18743849e-05
   1.72680016e-05  1.71193695e-05]
 [-4.88673401e-06  6.28414333e-07  2.37266946e-06 ...  1.24782972e-05
   9.06564426e-06  4.99580860e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",16.25,7.741931283601011,6.0,29.0,6.875,0.4841229182759271,6.0,8.0
15_3,subject_15.set,high,15,condition 3,"[[-4.46844816e-06 -2.80968618e-06 -2.05494380e-06 ... -4.48206758e-06
  -1.06254015e-05 -1.28058033e-05]
 [-1.26881342e-05 -1.12264128e-05 -1.21769333e-05 ... -9.61341858e-06
  -1.11367283e-05 -1.55657454e-05]
 [-1.17269592e-05 -1.03106461e-05 -1.05375414e-05 ... -7.14564180e-06
  -9.88446999e-06 -1.32611399e-05]
 ...
 [ 1.16714420e-05  9.78916550e-06  7.93227243e-06 ...  6.39846754e-06
   1.10221128e-05  1.35283833e-05]
 [ 1.76085815e-05  1.60140285e-05  1.37498035e-05 ...  1.32171288e-05
   1.48909721e-05  1.34739590e-05]
 [ 6.52095747e-06  4.70273876e-06  3.59168267e-06 ... -3.00863862e-07
   5.24160433e-06  1.12541838e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",19.0625,8.158345037444787,6.0,31.0,7.0,0.6123724356957945,6.0,8.0
15_4,subject_15.set,high,15,condition 4,"[[-1.49893761e-05 -2.15143547e-05 -2.16347561e-05 ... -7.21033478e-06
  -4.20121622e-06 -3.10948992e-06]
 [-2.10253239e-05 -2.14841042e-05 -1.47168636e-05 ... -2.52095556e-06
  -1.21316290e-06  2.64928281e-07]
 [-1.67874680e-05 -1.70244236e-05 -1.17985106e-05 ... -4.75482762e-07
   1.26160526e-06  2.35269618e-06]
 ...
 [ 1.73450890e-05  1.94034786e-05  1.40115995e-05 ...  4.88635525e-09
  -1.56952357e-06 -3.84189868e-06]
 [ 1.35530767e-05  9.84998226e-06  1.89990306e-06 ...  4.64890599e-07
  -2.54831958e-06 -6.54070616e-06]
 [ 1.88520699e-05  2.46806946e-05  2.05893211e-05 ... -4.01067209e-06
  -2.76400518e-06 -2.65552187e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",18.1875,5.790280109804706,9.0,31.0,6.875,0.4841229182759271,6.0,8.0
