,file,group,subject,condition,window,series,channels
01_ROE_10,01_ROE_10,high,01,ROE,10,"[[ 1.77293587e-06 -6.05046654e-06  1.37046087e-06 ...  3.01722956e-06
   9.72935104e-06 -1.50806653e-06]
 [ 1.54872787e-06 -5.88824987e-06  9.14623618e-07 ...  1.83410692e-06
   7.56454897e-06  3.95536274e-07]
 [ 3.12246227e-06 -5.16542530e-06  1.82252336e-06 ...  4.18014884e-07
   6.06064892e-06  8.40163708e-07]
 ...
 [ 9.34029102e-06  2.17018337e-05  9.99458027e-06 ...  1.49628252e-07
   8.35837483e-07 -2.80318069e-05]
 [-8.57438374e-06  4.14596510e-06 -6.87064219e-06 ...  7.48568344e-06
  -6.36876345e-06  8.41243935e-06]
 [-1.27146673e-06 -9.01586294e-07  3.12090874e-07 ... -6.71806955e-06
   5.58726549e-06 -2.33414268e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_11,01_ROE_11,high,01,ROE,11,"[[ 3.59012318e-06  3.36130762e-06 -3.17973495e-06 ... -1.98788583e-06
   1.65651476e-06  6.26517534e-06]
 [ 2.74902844e-06  3.49907231e-06 -2.49658179e-06 ... -1.27035773e-06
   4.80919272e-07  4.80117226e-06]
 [ 1.80784023e-06  3.23370123e-06 -2.81788564e-06 ... -1.08901596e-06
  -8.12840343e-07  4.28172159e-06]
 ...
 [ 6.93448961e-07 -1.86661015e-05 -4.69485378e-06 ... -1.30812359e-05
   6.11860275e-06 -3.44909692e-06]
 [ 3.60757899e-06 -7.27448940e-06  8.68857574e-06 ...  6.16416407e-06
  -3.49386644e-06 -1.32048111e-05]
 [ 8.44089794e-06 -1.63131847e-05 -1.10553634e-06 ... -2.23087749e-05
   2.99769282e-06 -7.32150173e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_12,01_ROE_12,high,01,ROE,12,"[[-6.41860342e-06  3.28490949e-06 -5.73246527e-06 ... -7.95926452e-07
  -9.42795467e-06  1.31926835e-06]
 [-4.63900375e-06  2.39898920e-06 -3.59246278e-06 ...  8.00430179e-07
  -6.97928667e-06  1.82266009e-06]
 [-4.05889416e-06  1.53593767e-06 -2.98729610e-06 ...  1.84889019e-06
  -5.75001621e-06  2.26676488e-06]
 ...
 [-6.94451761e-06  1.11853909e-06 -1.64710560e-05 ... -2.91333580e-05
  -1.16791391e-05 -1.38852663e-05]
 [ 5.30012274e-06 -9.09449482e-06  1.06776295e-05 ...  3.91208601e-06
   1.52934103e-05 -2.43961072e-06]
 [ 2.64242792e-06  9.81425190e-06 -6.42360497e-06 ... -5.38147354e-06
   1.90852845e-06  6.94490671e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_13,01_ROE_13,high,01,ROE,13,"[[-6.39490986e-06  4.60406154e-07 -4.74329948e-06 ... -3.14834744e-07
  -3.37191224e-06  1.46229434e-06]
 [-4.16166782e-06  8.84220898e-08 -2.41601634e-06 ... -1.50909758e-06
  -4.39016438e-06  1.75818831e-07]
 [-2.94428396e-06 -2.75253534e-07 -1.09026289e-06 ... -2.06040645e-06
  -4.59722853e-06 -5.49600244e-07]
 ...
 [-2.82480297e-05 -9.85887337e-06 -3.41766167e-05 ...  1.75269718e-05
   3.42590523e-05  1.84598446e-05]
 [ 2.38921337e-05  6.89251471e-06  1.52987785e-05 ...  5.02319574e-06
   2.26117563e-06  7.78178740e-06]
 [-2.98199444e-05 -1.77878361e-05 -2.97591591e-05 ...  8.06626129e-06
   2.14640160e-05  6.92732239e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_14,01_ROE_14,high,01,ROE,14,"[[-1.46464396e-06 -6.25091076e-06 -1.23389769e-06 ...  3.30468059e-06
  -2.72047353e-06  1.23183167e-06]
 [-2.59928560e-06 -5.36547375e-06 -1.74150646e-06 ...  1.88096881e-06
  -3.87447095e-06  3.25833172e-07]
 [-3.96583200e-06 -3.84058952e-06 -2.56413913e-06 ...  1.91026461e-06
  -4.26641798e-06  1.11946607e-06]
 ...
 [ 1.57016230e-05  2.25485706e-05  1.24484863e-05 ...  5.45422459e-06
   1.35898895e-05  7.93556929e-06]
 [ 1.45133314e-05  1.48382640e-06  2.39547482e-05 ...  3.80883360e-06
   2.18843985e-06 -3.24285769e-06]
 [-3.99491024e-06  1.30281992e-05 -2.73771167e-06 ...  1.44199824e-06
  -3.96246767e-06  8.20299053e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_15,01_ROE_15,high,01,ROE,15,"[[ 4.31614780e-06 -4.11346245e-06 -2.08296448e-07 ... -1.84342578e-07
  -2.51871049e-07  3.62019449e-07]
 [ 2.26115441e-06 -3.52587414e-06 -1.21225321e-06 ... -8.49973038e-08
  -6.14663847e-08 -4.04389054e-08]
 [ 1.22942460e-06 -2.55933619e-06 -9.37079847e-07 ... -3.15702945e-07
   1.99316815e-07 -8.07967424e-07]
 ...
 [ 5.44608116e-06  4.22814161e-07  1.06240406e-05 ... -9.53045750e-06
  -6.08978271e-06 -6.34997606e-07]
 [-9.41180065e-08  1.36899786e-05 -1.30584085e-06 ...  3.32746339e-06
  -4.75889780e-08  4.53803450e-07]
 [-3.43225789e-06 -4.17594624e-06  2.51706076e-06 ... -1.05744705e-05
  -7.97128820e-06  1.21053481e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_16,01_ROE_16,high,01,ROE,16,"[[-1.96529138e-06 -8.71713638e-07 -4.38375808e-08 ...  3.08000922e-06
  -2.44505763e-06 -3.18240523e-06]
 [-5.18353522e-07 -2.98721284e-07  4.91855025e-07 ...  1.46582043e-06
  -2.13234472e-06 -2.18619561e-06]
 [ 1.76974893e-07 -9.70058262e-07  1.20752342e-07 ...  1.17623603e-06
  -1.06068838e-06 -9.57527578e-07]
 ...
 [-1.80716782e-05 -1.35966692e-05 -1.12578974e-05 ...  1.43049459e-05
   1.23170538e-05  3.56336617e-06]
 [ 2.92705822e-06  1.80361862e-05  9.58567333e-06 ...  6.68585825e-06
  -3.42065382e-06 -5.62892485e-06]
 [-1.04194870e-05 -5.33012152e-06 -2.08438873e-07 ... -4.96046352e-06
  -6.48466587e-06 -6.35392618e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_17,01_ROE_17,high,01,ROE,17,"[[-3.21746171e-07  2.81967854e-06  2.75587749e-06 ... -7.97985852e-07
   5.44949532e-06  1.79171216e-06]
 [-7.34714568e-07  2.18030000e-06  1.77425933e-06 ... -5.30815303e-07
   5.03561878e-06  1.56029725e-06]
 [-3.49824071e-07  2.60625434e-06  1.69761896e-06 ... -1.48400354e-06
   4.74794579e-06  1.14400434e-06]
 ...
 [ 1.41247826e-05  7.22255087e-06  1.29277182e-05 ... -1.20029936e-05
  -1.68578568e-05 -1.54677534e-05]
 [-6.48863912e-07 -1.08087006e-05 -7.48873806e-06 ...  8.89913940e-06
  -7.79819393e-06  4.96096313e-08]
 [ 1.87737346e-06  6.53573215e-07  3.22901535e-06 ... -6.82184696e-06
  -1.09897413e-05 -3.17786026e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_RCE_0,01_RCE_0,high,01,RCE,0,"[[ 3.20779204e-06  4.45557165e-06 -5.69309235e-06 ...  6.61193848e-06
  -1.09745920e-06  6.73945951e-06]
 [ 1.25088775e-06  2.52786922e-06 -4.27315378e-06 ...  5.45543766e-06
   5.46055026e-08  5.33549023e-06]
 [-7.10152686e-08  2.01516819e-06 -3.87613082e-06 ...  4.74079323e-06
   6.07653797e-07  4.53339291e-06]
 ...
 [ 9.93225193e-06  8.78190422e-06 -9.29384708e-06 ... -1.48764658e-05
  -2.36920261e-05 -1.83905067e-05]
 [-1.51793146e-06 -1.35367031e-05 -1.40178432e-05 ...  4.18166780e-06
   1.02096987e-05  1.03554878e-05]
 [ 3.54998797e-07 -5.10833406e-06 -1.79429531e-05 ... -1.60451870e-05
  -2.44757786e-05 -4.22863350e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_RCE_1,01_RCE_1,high,01,RCE,1,"[[ 1.80917069e-07 -6.55875146e-07 -4.77970505e-06 ... -9.30449545e-07
   4.41345167e-06 -2.74748802e-06]
 [ 1.21167183e-06  6.38754219e-08 -3.14855695e-06 ... -1.10456280e-07
   2.88295388e-06 -2.07310033e-06]
 [ 1.86878157e-06  2.97605991e-07 -1.57523191e-06 ...  1.53292716e-06
   2.71937442e-06 -1.26453817e-06]
 ...
 [-2.18841496e-05 -2.05622292e-05 -1.09651890e-05 ... -1.88707924e-06
   1.03961487e-05  6.80194139e-06]
 [ 2.82360172e-06  8.76094246e-06  5.72389126e-06 ... -1.27854233e-05
  -9.37550926e-06 -1.29531441e-05]
 [-2.06970367e-05 -3.19709721e-05 -1.54375896e-05 ... -8.15161419e-06
   8.32240462e-07  1.07232504e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
