,file,group,subject,condition,window,series,channels
06_POST_7,06_POST_7,high,06,POST,7,"[[ 1.11448383e-06 -2.69181871e-06 -1.78993905e-06 ... -1.53695250e-06
  -2.15910864e-06 -1.54111445e-06]
 [ 3.19179249e-06  8.34920466e-07  2.64756346e-06 ... -1.95830524e-06
   8.13360500e-06  2.79459524e-06]
 [ 3.93344116e-06  7.91985750e-07  4.70948553e-06 ... -2.61316729e-06
   6.92114449e-06  2.98762989e-06]
 ...
 [ 4.11612320e-06  1.90895271e-06 -4.57805544e-07 ...  1.15899885e-06
  -6.15308619e-06 -9.91809559e-06]
 [ 1.39925838e-06  3.71977019e-06  5.47455454e-06 ...  2.47921753e-06
  -2.13075447e-06  2.97692508e-07]
 [ 1.12391531e-06  7.51162672e-06  3.87220025e-06 ... -2.38107586e-06
  -9.36817741e-06 -6.66984558e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_8,06_POST_8,high,06,POST,8,"[[-1.67275202e-06 -3.53734088e-06  1.17035425e-06 ...  1.85696876e-06
  -4.07749557e-06  7.83528268e-07]
 [ 4.55270720e-06  1.31308246e-06  4.88340855e-06 ... -6.68564260e-07
  -5.27451420e-06 -3.48923373e-06]
 [ 2.36691523e-06  4.60237384e-07  4.12799072e-06 ...  4.82416481e-07
  -4.40138006e-06 -3.27595615e-06]
 ...
 [-1.74351826e-05 -1.19474506e-05 -8.64742661e-06 ... -1.43123496e-06
   1.51178992e-06 -2.23794198e-06]
 [-4.00070620e-06  1.42365742e-06 -2.25334740e-06 ... -1.61136866e-06
   8.72980309e-06 -2.80058193e-06]
 [-3.80623317e-06 -3.75777102e-06 -2.17764807e-06 ... -3.03047085e-06
   8.33195686e-07  6.87193203e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_9,06_POST_9,high,06,POST,9,"[[ 2.89614511e-06  2.43150759e-06 -2.35474825e-06 ...  1.62957776e-06
  -7.18696415e-07  7.51971185e-07]
 [ 1.50276393e-07 -3.48923588e-06 -1.99640143e-06 ...  3.82089949e-06
   1.05121994e-06  4.99149704e-06]
 [ 6.80411160e-07 -3.72831106e-06 -1.21166730e-06 ...  2.95915985e-06
   5.88025868e-07  3.58477855e-06]
 ...
 [-3.83415580e-06  1.66710052e-05  1.75684319e-05 ... -6.39485168e-06
  -1.25489178e-05 -5.26465988e-06]
 [-6.74624777e-06 -3.34830475e-06  4.93734360e-07 ...  1.63592601e-06
   7.25509977e-06  3.19447684e-06]
 [-3.42900872e-06  4.79795837e-06  4.48665857e-06 ...  8.20544541e-07
  -5.76584673e-06 -1.81719506e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_10,06_POST_10,high,06,POST,10,"[[-6.36936045e-06 -3.52637649e-06 -2.39519787e-06 ... -4.72660828e-06
  -1.68393004e-06 -5.05416393e-06]
 [-3.94697428e-06  7.43010223e-07  1.26634562e-06 ... -4.55373573e-06
   2.00120163e-06 -1.43861723e-06]
 [-5.15526819e-06  5.78228772e-07  1.37979686e-06 ... -4.77492952e-06
   7.14383543e-07 -2.58254528e-06]
 ...
 [-4.37350702e-06  3.06905985e-07  1.80608711e-05 ...  1.21455212e-05
  -1.02597249e-06  5.39495277e-06]
 [ 6.21156788e-06 -2.54867315e-06 -2.23586535e-06 ...  9.19672310e-07
  -1.15961075e-06  8.89437580e-06]
 [ 8.49534893e-06  1.33655345e-06  9.23573613e-07 ...  9.07808495e-06
  -3.37295103e-06  9.29419327e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_11,06_POST_11,high,06,POST,11,"[[-1.38234422e-07 -1.22985911e-06  4.13876629e-06 ...  2.22415900e-06
  -2.30641946e-07  7.43313968e-07]
 [-1.28307021e-06  3.29572010e-06 -4.12977743e-06 ...  2.94906735e-06
   1.68130732e-06 -1.73524335e-07]
 [-1.48538327e-06  2.21879840e-06 -3.06493545e-06 ...  2.63818860e-07
   6.06647491e-07 -7.86896527e-07]
 ...
 [ 4.68290567e-06 -1.02055156e-06  4.80855846e-06 ... -6.16002512e-06
  -4.28655386e-06  2.39202976e-06]
 [ 1.08390341e-05  1.12795740e-07 -7.10304856e-07 ...  4.26519918e-06
   5.23504019e-06  6.40636492e-06]
 [-7.53976941e-07  3.77419233e-06  6.73557103e-07 ...  3.26608479e-07
   1.25037932e-06  7.35277700e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_12,06_POST_12,high,06,POST,12,"[[ 1.41088113e-07 -5.59676111e-07 -4.70045567e-06 ...  3.17405367e-06
   1.05006659e-06  2.21841049e-06]
 [ 4.63517189e-06  3.54207546e-07 -2.44776487e-07 ...  7.94061136e-06
   1.04151497e-05  2.29922795e-06]
 [ 1.16052568e-06 -1.49866438e-06 -1.25860357e-06 ...  8.04184723e-06
   9.76046753e-06  2.45616174e-06]
 ...
 [-4.52850533e-06  3.67312932e-06  3.11817503e-06 ... -1.73919640e-05
  -1.31528969e-05 -1.57512832e-06]
 [ 6.07740171e-08  4.49855995e-06  4.07940435e-06 ... -8.51344776e-06
  -2.88727117e-06  9.57217336e-07]
 [-2.47199130e-06  9.42387342e-07  9.37152004e-06 ...  3.10537910e-06
  -5.22124529e-06  4.49849129e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_13,06_POST_13,high,06,POST,13,"[[ 4.62177843e-07 -1.65921807e-06  2.38026410e-07 ...  2.21695042e-06
   2.68101382e-06  4.39787579e-06]
 [ 4.39380360e-06  4.98187095e-07  6.35250187e-06 ...  2.04548287e-06
  -2.62054873e-06  6.54406977e-06]
 [ 6.02121162e-06  2.38156700e-06  6.05069399e-06 ...  1.44447923e-06
  -1.28438616e-06  5.94116831e-06]
 ...
 [-1.19332762e-05 -1.59618549e-05 -2.64249611e-05 ... -7.39965916e-06
   7.02921200e-06 -2.02049851e-06]
 [-6.36781025e-06  1.14442480e-06 -3.52835822e-06 ... -7.54621840e-06
   1.97244525e-06 -7.01074457e-06]
 [-5.59311724e-06 -1.07816839e-06 -9.40585995e-06 ... -2.75190020e-06
   5.62705803e-06 -6.71132231e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_14,06_POST_14,high,06,POST,14,"[[ 6.70730472e-07  5.64739990e-06 -7.08854294e-06 ...  1.20718849e-06
   2.65180087e-06  1.01761115e-06]
 [-1.21387577e-06  1.58988643e-06 -6.38449848e-07 ...  5.89531839e-07
  -2.20680714e-06 -7.06821251e-06]
 [-1.21491149e-07  1.21340668e-06 -1.55411541e-06 ...  8.64344060e-07
  -1.61102712e-06 -5.84007406e-06]
 ...
 [ 1.88621175e-06 -4.21531343e-06  7.28242254e-06 ... -9.84769440e-06
   3.14096546e-06  4.22460699e-06]
 [-1.65902078e-06 -5.26629782e-06  4.71308136e-06 ... -3.23947954e-06
  -2.22963786e-06 -5.19316578e-06]
 [ 5.69959402e-06 -7.65302849e-06  8.76608849e-06 ... -4.17046642e-06
   5.69766855e-06  4.20172262e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_15,06_POST_15,high,06,POST,15,"[[ 2.45960927e-06 -1.94080663e-06 -2.24315071e-06 ...  6.60682917e-06
  -9.09558117e-07 -4.21053457e-06]
 [-5.01487374e-07  2.33280587e-06 -1.12870884e-06 ... -3.39816403e-06
   3.90266120e-07 -1.27935636e-06]
 [-3.41183990e-07  2.45210600e-06 -6.43136561e-07 ... -3.60760474e-06
   7.55021513e-07 -2.15539646e-06]
 ...
 [ 9.20715332e-06  1.86895475e-07 -4.52534342e-06 ... -7.79064560e-06
  -4.98419905e-06 -3.14997840e-06]
 [-6.31617355e-06 -6.12277079e-06 -9.44824886e-06 ...  5.84419250e-06
   3.87313962e-06  6.64343214e-06]
 [-7.41416073e-06  5.20173311e-07 -1.87003958e-06 ... -5.30260420e-06
   3.97146273e-06  3.32414842e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_16,06_POST_16,high,06,POST,16,"[[-2.59702265e-07 -2.89077139e-06 -3.71282530e-06 ...  2.05084801e-06
   4.05284017e-07  5.74463511e-06]
 [ 6.36641836e-06  2.69331574e-07 -2.36849689e-06 ...  9.65204775e-07
   6.66549623e-07  8.11570358e-06]
 [ 5.72140408e-06 -5.02560616e-07 -3.00213456e-06 ...  9.01286662e-07
   8.71498287e-08  9.39586926e-06]
 ...
 [-1.02207260e-05 -2.35836005e-06  9.28433990e-06 ... -2.60237002e-06
   5.28362155e-07  6.09056473e-06]
 [ 1.04451394e-06 -7.79848874e-07  4.98916835e-07 ... -3.23369336e-06
   7.42007136e-07 -8.26699829e-06]
 [-4.28238773e-06 -1.29579401e-06  4.52777481e-06 ... -1.87233961e-06
  -3.06853271e-06  1.04507291e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
06_POST_17,06_POST_17,high,06,POST,17,"[[ 4.28736806e-07 -2.42812800e-06 -1.65810025e-06 ... -1.17873996e-07
  -1.66339016e-06 -8.70834827e-07]
 [ 2.21422029e-06 -4.82554913e-06 -1.22915447e-06 ...  4.55067015e-06
   1.21526086e-06  4.49884796e-06]
 [ 1.32231426e-06 -6.31048489e-06 -2.16383004e-06 ...  4.04574966e-06
   1.40634763e-06  5.77004194e-06]
 ...
 [-1.02094822e-05  1.91974139e-06 -3.63832664e-06 ...  2.90016079e-06
  -7.99086428e-06 -1.03911695e-05]
 [-4.30426598e-06  3.32006097e-06  6.02362108e-06 ...  1.63030699e-08
   1.14021921e-06  1.89911231e-07]
 [-1.03241739e-05  8.89698792e-06  3.50710797e-06 ...  2.13003159e-06
  -5.07716560e-06 -3.82829785e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_0,07_ROE_0,high,07,ROE,0,"[[-1.34660876e-06 -5.50831366e-06  1.04446878e-05 ... -6.85193014e-06
  -4.16459560e-06 -3.34148264e-06]
 [-9.08085287e-07 -6.15534544e-07  8.02560997e-06 ... -1.16519022e-06
  -1.16363525e-06 -1.20389307e-06]
 [-4.47797269e-07 -3.95728081e-07  8.22564411e-06 ...  5.12260437e-07
  -1.03603601e-07  3.99851590e-07]
 ...
 [ 2.60130137e-07  1.03580484e-05 -9.00800049e-07 ...  6.93446541e-06
   1.82304370e-06  3.04027724e-06]
 [-8.58626306e-07  4.01991558e-06 -1.11508036e-05 ...  1.34295273e-06
   3.47139692e-06  2.03967810e-06]
 [ 2.42677617e-06  1.07814550e-06 -1.20732832e-05 ...  4.84304762e-06
   1.61866987e-06  3.25912833e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_1,07_ROE_1,high,07,ROE,1,"[[ 2.99619007e-06  4.94072342e-06  3.87954593e-06 ... -5.37101841e-06
  -4.13988495e-06  1.26813293e-06]
 [ 2.42759156e-06  2.96181679e-06  3.86446810e-06 ... -1.94448841e-06
  -5.41044998e-06 -8.24696064e-07]
 [ 1.13399839e-06  2.82180262e-06  3.04584002e-06 ... -1.85246325e-06
  -5.43121243e-06 -6.73573434e-07]
 ...
 [-6.82265615e-06 -3.67965055e-06 -4.53008699e-06 ...  9.87000227e-07
   6.40483856e-06  8.87244567e-08]
 [-6.84577882e-07 -3.18226051e-06 -2.55181432e-06 ...  6.81223631e-06
   8.48565197e-06  6.72214448e-07]
 [-3.55643892e-06 -3.32804847e-06 -6.36744165e-06 ...  3.03030634e-06
   4.36049843e-06 -8.42857361e-07]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_2,07_ROE_2,high,07,ROE,2,"[[-2.60505843e-06 -2.48133275e-09 -7.18939960e-07 ...  8.74361634e-07
  -5.78786755e-06 -3.39325619e-06]
 [-2.13141441e-06 -5.95317304e-07  2.11835432e-06 ...  2.29331613e-06
  -5.20477951e-07 -1.05957747e-06]
 [-1.90077329e-06 -8.44578326e-07  2.15173411e-06 ...  1.44604981e-06
   1.14704192e-06  7.06443906e-07]
 ...
 [ 1.14520276e-06 -1.18691838e-06  1.78391659e-06 ... -5.84743118e-06
   4.67830563e-06  6.06755781e-06]
 [ 2.20325422e-06 -2.02557850e-06 -1.01745045e-06 ...  1.29552519e-06
   1.46971393e-06 -1.44052887e-06]
 [ 3.56574702e-06  9.92760301e-07 -2.87546086e-06 ... -3.38360953e-06
   2.44759965e-06  3.43779969e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_3,07_ROE_3,high,07,ROE,3,"[[-4.82197225e-07 -5.56659412e-06 -4.69434834e-06 ...  1.96374989e-06
   1.66404057e-06  8.16523015e-07]
 [-4.11131287e-06 -4.06790686e-06 -5.93656969e-06 ... -6.13702822e-06
  -6.85344553e-06 -1.71847630e-06]
 [-2.80093765e-06 -3.29882801e-07 -2.91885138e-06 ... -5.08144140e-06
  -5.28363323e-06  5.72982192e-07]
 ...
 [ 9.73828411e-06  1.42250338e-05  1.48427134e-05 ...  8.82210541e-06
   1.31905594e-05  7.59971285e-06]
 [-3.47041702e-06 -5.37385798e-06 -1.17209435e-06 ... -2.71153378e-06
  -1.42279255e-06 -5.73817492e-06]
 [ 4.49793673e-06  1.08361673e-05  9.38634300e-06 ...  6.49788666e-06
   4.53415442e-06  5.85681200e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_4,07_ROE_4,high,07,ROE,4,"[[ 1.25413334e-06  5.75053692e-06 -1.68783009e-06 ... -3.77216983e-06
  -4.08099794e-06 -3.71471143e-06]
 [-5.81769228e-07 -3.64758992e-06 -4.52680254e-06 ... -1.89216509e-08
   1.41572118e-06  1.40444338e-06]
 [ 6.21185780e-07 -2.92710871e-07 -2.45421314e-06 ...  2.54446954e-07
   1.03143561e-06  1.33550453e-06]
 ...
 [ 5.64602041e-06  1.05977554e-05  7.16329050e-06 ...  1.71459174e-06
  -2.56761909e-06 -1.21579051e-06]
 [-3.53426123e-06 -6.19026423e-06 -1.27630115e-06 ...  2.45207095e-06
  -1.89897388e-07  1.18151748e-06]
 [ 2.29036427e-06  3.57077003e-06  6.82613087e-06 ...  1.33680761e-06
   6.00548983e-07 -1.24427843e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_5,07_ROE_5,high,07,ROE,5,"[[-3.54943705e-06 -2.11480904e-06 -2.99575090e-06 ... -5.76272678e-06
  -6.33325529e-06 -8.71858120e-06]
 [ 2.23217678e-06  3.70187938e-07  8.13478008e-08 ... -6.00376606e-06
  -4.98962355e-06 -8.01629925e-06]
 [ 3.22661161e-06  1.28710401e-06  5.00794172e-07 ... -5.38104534e-06
  -6.78099155e-06 -9.12232685e-06]
 ...
 [ 2.75862837e-06  4.29884529e-06  5.09076929e-06 ...  9.53495884e-06
   3.31942248e-06  7.35593987e-06]
 [-1.08859396e-06 -2.18675780e-06  9.24985468e-07 ...  5.15946960e-06
   7.88933134e-06  7.07440376e-06]
 [-9.05113220e-07  3.29496360e-06  1.70771146e-06 ...  4.93556023e-06
   2.63526988e-06  1.03681955e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_6,07_ROE_6,high,07,ROE,6,"[[-1.02158794e-05 -9.90949631e-06 -8.43435764e-06 ... -1.32018590e-06
  -9.79905546e-07  1.21884096e-06]
 [-9.10752583e-06 -8.35169125e-06 -6.61801958e-06 ... -2.35383534e-06
   9.67934310e-07  2.14033198e-06]
 [-9.06483936e-06 -8.37818718e-06 -6.90840530e-06 ... -3.59438562e-06
   6.01763904e-07  1.57049358e-06]
 ...
 [ 1.18340721e-05  1.26960297e-05  6.47830725e-06 ...  3.79808807e-06
   2.13699079e-06 -2.57984781e-06]
 [ 8.10538101e-06  1.09256268e-05  6.91247416e-06 ...  9.02961075e-07
   9.87603486e-07 -3.51663530e-07]
 [ 1.10648890e-05  8.16701603e-06  6.96690607e-06 ...  1.06909478e-06
  -1.61832786e-06 -4.36666441e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_7,07_ROE_7,high,07,ROE,7,"[[-1.29266262e-06 -3.10619593e-06 -2.57171369e-06 ...  5.37214851e-06
   1.68223953e-06  1.03457766e-05]
 [-2.49619269e-06  6.32178426e-07 -3.77308798e-06 ...  3.61028695e-06
  -2.00950861e-06  2.41576266e-06]
 [-2.37194276e-06  2.15041804e-06 -3.04504776e-06 ...  5.62305880e-06
  -2.16104937e-06  4.35285711e-06]
 ...
 [ 2.89084029e-06  2.80668902e-06  4.37319660e-06 ...  1.83166766e-06
   5.33501577e-06  1.08202887e-06]
 [-3.83661866e-07  1.80799544e-06  1.14856946e-06 ... -6.95427227e-06
   6.45050001e-06 -6.25123644e-06]
 [ 3.25077462e-06 -9.39339578e-07  4.69890833e-06 ... -2.51927781e-06
  -1.43301940e-06 -6.97727823e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_8,07_ROE_8,high,07,ROE,8,"[[ 5.14884853e-06  3.82049227e-06  3.98656106e-06 ... -1.68071115e-06
  -4.59623337e-06 -5.83855271e-07]
 [-1.01045787e-06 -3.86725235e-06 -4.01093912e-06 ... -2.10839653e-06
  -1.18773878e-06 -3.38373327e-06]
 [-1.03391683e-06 -4.27920866e-06 -3.98679829e-06 ... -1.97674298e-06
  -2.02349353e-06 -3.09167385e-06]
 ...
 [-6.34256423e-07  4.93314838e-06  1.22605972e-07 ...  3.40292311e-06
  -7.26724684e-07  2.85704350e-06]
 [ 7.58626163e-07  3.89219499e-06 -2.10948753e-06 ...  2.44331717e-06
   4.42805290e-06  3.63154030e-06]
 [-4.12520361e-06 -6.24495411e-06  2.30831122e-06 ...  1.34417975e-06
  -2.15476483e-07  1.89073980e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_9,07_ROE_9,high,07,ROE,9,"[[-1.16769052e-06  1.45958221e-06  2.20048809e-06 ...  1.80011138e-07
  -2.58278131e-07  1.44739199e-06]
 [-2.52838588e-06 -3.88276243e-06 -1.01012790e-06 ... -2.89647341e-07
  -1.95744529e-07  4.85355282e-06]
 [-3.63388276e-06 -5.76125193e-06 -1.09799910e-06 ... -3.41767102e-07
  -6.21147394e-07  3.61854601e-06]
 ...
 [-2.33710214e-07  1.02567291e-06  1.48986018e-06 ... -3.85004044e-06
  -3.35615468e-06 -1.00939493e-05]
 [ 2.95261192e-06  2.52985358e-06  4.35275936e-06 ... -1.25946403e-06
  -7.28833497e-07 -3.10975432e-06]
 [ 1.17545985e-07 -6.50638342e-07 -4.59068060e-06 ...  4.48754930e-06
   3.95469618e-06 -1.75043249e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_10,07_ROE_10,high,07,ROE,10,"[[ 3.21459025e-07 -2.89651227e-06 -2.92499495e-06 ... -4.04409552e-06
  -3.50071764e-06 -1.04906492e-05]
 [ 3.41655850e-06  3.53444290e-06  5.26254129e-06 ... -2.85718918e-06
  -2.36862183e-06 -2.38502765e-06]
 [ 2.75405908e-06  2.82280517e-06  4.79245520e-06 ... -2.98232579e-06
  -1.16416764e-06 -1.98559713e-06]
 ...
 [-8.54171467e-06 -9.28013515e-06 -9.09510803e-06 ...  5.51563203e-07
   3.96110296e-06  2.70714712e-06]
 [-2.81333637e-06 -2.70354182e-07  5.16374350e-07 ...  1.76149905e-06
   3.74422574e-06  5.48793936e-06]
 [ 9.89492476e-07  2.21067810e-06  1.83070958e-06 ...  4.27308273e-06
   4.72040844e-06  8.53371429e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_11,07_ROE_11,high,07,ROE,11,"[[-8.66044235e-06 -3.30267119e-06 -4.89960384e-06 ... -1.07036695e-05
  -8.67326736e-06 -8.12948895e-06]
 [-4.92140627e-06 -1.25943613e-06 -1.87983298e-06 ...  7.81836390e-07
  -7.16488183e-07 -5.20423651e-07]
 [-5.37970543e-06 -1.85393226e-06 -3.14415359e-06 ...  1.13372970e-08
  -1.09731174e-06 -7.49249041e-07]
 ...
 [ 1.74588597e-06  6.44951701e-07 -1.01738989e-06 ... -4.34162855e-06
  -1.70834613e-06 -2.08859372e-06]
 [ 1.03843451e-05  5.00247431e-06  6.12656593e-06 ...  6.86754227e-06
   8.38337231e-06  8.73242283e-06]
 [ 5.27845526e-06  1.34216166e-06  1.74893665e-06 ...  4.66353321e-06
   2.02191091e-06  3.69700503e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_12,07_ROE_12,high,07,ROE,12,"[[-9.84455490e-06 -4.35917997e-06 -3.96169734e-06 ...  1.63795185e-06
   7.94070721e-07  6.27036715e-06]
 [-3.83164734e-07  1.39105058e-06  2.58425426e-06 ... -2.52200270e-06
   3.78719258e-06  1.80180871e-06]
 [-7.20038891e-07 -5.19370399e-08  8.60224664e-07 ... -1.39945889e-06
   4.28930473e-06  3.03235388e-06]
 ...
 [-2.70284104e-06 -3.17182732e-06 -7.25092602e-06 ...  4.08000755e-06
  -5.64622068e-06 -3.72744894e-06]
 [ 9.07466602e-06  5.86258793e-06  5.84281683e-06 ...  3.39793611e-06
  -4.23314428e-06 -4.12381744e-06]
 [ 3.58683443e-06 -1.65027142e-06 -3.69169259e-06 ...  1.08018005e-06
  -1.90161240e-06 -4.36028051e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_13,07_ROE_13,high,07,ROE,13,"[[ 6.20543098e-06  5.86522961e-06  4.23292351e-06 ...  5.19942379e-06
   4.64453316e-06  4.60445642e-06]
 [ 3.03605604e-06  6.70088112e-07  9.68886495e-07 ...  1.53561985e-06
   7.66443551e-07  1.51554096e-06]
 [ 3.97796798e-06  8.86357903e-07  2.20945764e-06 ... -1.17721520e-07
  -7.62875676e-07  4.87544537e-07]
 ...
 [-3.15328407e-06 -2.94633770e-06  5.21838009e-07 ... -4.37263823e-06
  -1.74262941e-06 -2.16717577e-06]
 [-3.06740212e-06 -5.78989553e-06 -6.11666627e-08 ... -4.70450632e-08
  -1.07581437e-06 -2.59314990e-06]
 [-6.88203621e-06 -3.21719050e-06 -5.04732037e-06 ... -7.02287817e-06
  -3.01142526e-06 -3.29156518e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_14,07_ROE_14,high,07,ROE,14,"[[ 7.17926836e-06 -1.80938318e-07  1.84605265e-06 ...  3.05613422e-06
   5.06039821e-08 -3.81336045e-06]
 [ 2.36687231e-06  1.45915818e-06  1.61083889e-06 ...  6.95607722e-07
   1.07462275e-06  1.52335489e-06]
 [ 1.56248465e-07  1.03572845e-06 -1.58900306e-07 ... -7.17867352e-09
   1.30372894e-06  2.17939186e-06]
 ...
 [-3.81730366e-06  4.12663579e-07  6.94306016e-07 ... -1.68917167e-06
   2.43022363e-09 -1.08566594e-06]
 [-1.83297777e-06 -1.82399482e-07  8.40298176e-07 ... -2.41786957e-06
   1.31173098e-06  1.82764304e-06]
 [-5.49443960e-06  2.91971266e-07 -1.85903084e-06 ...  2.64911801e-07
  -5.77011228e-07  1.98140323e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
07_ROE_15,07_ROE_15,high,07,ROE,15,"[[ 3.31422353e-06 -1.08533977e-08  8.74220192e-07 ...  6.12536764e-06
   1.35273314e-06 -6.71416378e-06]
 [ 3.88122153e-06 -1.21092916e-06  2.36775565e-06 ...  4.81640482e-06
   5.05834770e-06  8.06605721e-06]
 [ 5.04441214e-06 -8.29949081e-07  1.74942136e-06 ...  1.30650139e-06
   2.02131391e-07  2.99542522e-06]
 ...
 [-1.11943197e-06  1.32248032e-06 -1.12714767e-06 ... -6.48808765e-06
  -8.95552254e-06 -1.13273382e-05]
 [-3.78695369e-06 -8.30702305e-07  2.52051115e-06 ... -4.30651093e-06
   7.97988117e-07  1.14622998e-06]
 [-2.67185903e-06  2.05109167e-06 -4.40103626e-06 ... -2.25948310e-06
  -3.63418937e-06 -2.82906222e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
