Group,Condition,Subject_i,Subject_j,Window_i,Window_j,Distance,Subject_ij
high,ROE,01,16,5,5,7.434235074825471,"('01', '16')"
high,ROE,01,01,6,6,0.0,"('01', '01')"
high,ROE,01,02,6,6,8.918857510144687,"('01', '02')"
high,ROE,01,03,6,6,7.516620820786699,"('01', '03')"
high,ROE,01,04,6,6,8.09206472397192,"('01', '04')"
high,ROE,01,05,6,6,10.932378074986104,"('01', '05')"
high,ROE,01,06,6,6,6.079455008483629,"('01', '06')"
high,ROE,01,07,6,6,8.120705453833908,"('01', '07')"
high,ROE,01,08,6,6,8.850879203072315,"('01', '08')"
high,ROE,01,09,6,6,7.543197005043261,"('01', '09')"
high,ROE,01,10,6,6,9.28828418158521,"('01', '10')"
high,ROE,01,11,6,6,10.170876985915239,"('01', '11')"
high,ROE,01,13,6,6,8.672034697503575,"('01', '13')"
high,ROE,01,14,6,6,9.739467895805001,"('01', '14')"
high,ROE,01,15,6,6,8.735079778139637,"('01', '15')"
high,ROE,01,16,6,6,8.183129144582907,"('01', '16')"
high,ROE,01,01,7,7,0.0,"('01', '01')"
high,ROE,01,02,7,7,7.2005833190642194,"('01', '02')"
high,ROE,01,03,7,7,7.719036266831469,"('01', '03')"
high,ROE,01,04,7,7,8.2235332681644,"('01', '04')"
high,ROE,01,05,7,7,9.623839659384014,"('01', '05')"
high,ROE,01,06,7,7,6.937472970025001,"('01', '06')"
high,ROE,01,07,7,7,8.021468705563446,"('01', '07')"
high,ROE,01,08,7,7,9.17592352897531,"('01', '08')"
high,ROE,01,09,7,7,7.238401593348542,"('01', '09')"
high,ROE,01,10,7,7,9.98315206829818,"('01', '10')"
high,ROE,01,11,7,7,9.295919079950636,"('01', '11')"
high,ROE,01,13,7,7,7.987695385778613,"('01', '13')"
high,ROE,01,14,7,7,9.421804531855525,"('01', '14')"
high,ROE,01,15,7,7,8.402169545055196,"('01', '15')"
high,ROE,01,16,7,7,7.872515658501672,"('01', '16')"
high,ROE,01,01,8,8,0.0,"('01', '01')"
high,ROE,01,02,8,8,8.429160093292062,"('01', '02')"
high,ROE,01,03,8,8,6.827858253719791,"('01', '03')"
high,ROE,01,04,8,8,8.229789630002074,"('01', '04')"
high,ROE,01,05,8,8,9.991946361193385,"('01', '05')"
high,ROE,01,06,8,8,6.2264412264274505,"('01', '06')"
high,ROE,01,07,8,8,7.8163641659699525,"('01', '07')"
high,ROE,01,08,8,8,8.889903268890716,"('01', '08')"
high,ROE,01,09,8,8,6.6226055744618035,"('01', '09')"
high,ROE,01,10,8,8,8.30475534303706,"('01', '10')"
high,ROE,01,11,8,8,9.688787880136324,"('01', '11')"
high,ROE,01,13,8,8,8.099022659601607,"('01', '13')"
high,ROE,01,14,8,8,10.068046342680143,"('01', '14')"
high,ROE,01,15,8,8,7.794000496276055,"('01', '15')"
high,ROE,01,16,8,8,7.560957913767108,"('01', '16')"
high,ROE,01,01,9,9,0.0,"('01', '01')"
high,ROE,01,02,9,9,8.483178675378731,"('01', '02')"
high,ROE,01,03,9,9,6.919334912998452,"('01', '03')"
high,ROE,01,04,9,9,7.901935430007095,"('01', '04')"
high,ROE,01,05,9,9,10.054931438695613,"('01', '05')"
high,ROE,01,06,9,9,6.055433980093829,"('01', '06')"
high,ROE,01,07,9,9,7.15689401237509,"('01', '07')"
high,ROE,01,08,9,9,9.082003067337807,"('01', '08')"
high,ROE,01,09,9,9,6.917013694498625,"('01', '09')"
high,ROE,01,10,9,9,6.900992062380158,"('01', '10')"
high,ROE,01,11,9,9,6.937979678232751,"('01', '11')"
high,ROE,01,13,9,9,7.382400855914368,"('01', '13')"
high,ROE,01,14,9,9,9.91080261234327,"('01', '14')"
high,ROE,01,15,9,9,8.253183318538106,"('01', '15')"
high,ROE,01,16,9,9,9.128360617208273,"('01', '16')"
high,ROE,01,01,10,10,0.0,"('01', '01')"
high,ROE,01,02,10,10,7.293224537309899,"('01', '02')"
high,ROE,01,03,10,10,7.5046875587896515,"('01', '03')"
high,ROE,01,04,10,10,7.217416416121818,"('01', '04')"
high,ROE,01,05,10,10,8.754739342734098,"('01', '05')"
high,ROE,01,06,10,10,6.743525554721207,"('01', '06')"
high,ROE,01,07,10,10,7.703808741785621,"('01', '07')"
high,ROE,01,08,10,10,7.177297739985264,"('01', '08')"
high,ROE,01,09,10,10,7.743934041121153,"('01', '09')"
high,ROE,01,10,10,10,7.965172299196749,"('01', '10')"
high,ROE,01,11,10,10,7.12438781309934,"('01', '11')"
high,ROE,01,13,10,10,7.597778596832525,"('01', '13')"
high,ROE,01,14,10,10,9.529091625521191,"('01', '14')"
high,ROE,01,15,10,10,7.903229882861373,"('01', '15')"
high,ROE,01,16,10,10,8.302201331761148,"('01', '16')"
high,ROE,01,01,11,11,0.0,"('01', '01')"
high,ROE,01,02,11,11,9.693616610410842,"('01', '02')"
high,ROE,01,03,11,11,6.5041574623548,"('01', '03')"
high,ROE,01,04,11,11,8.231212050917414,"('01', '04')"
high,ROE,01,05,11,11,8.996462288201695,"('01', '05')"
high,ROE,01,06,11,11,6.07991554065993,"('01', '06')"
high,ROE,01,07,11,11,8.040571526421143,"('01', '07')"
high,ROE,01,08,11,11,8.170993906408643,"('01', '08')"
high,ROE,01,09,11,11,6.74021647185646,"('01', '09')"
high,ROE,01,10,11,11,6.528658143776758,"('01', '10')"
high,ROE,01,11,11,11,7.15153197102851,"('01', '11')"
high,ROE,01,13,11,11,7.241619374087794,"('01', '13')"
high,ROE,01,14,11,11,9.440407171632947,"('01', '14')"
high,ROE,01,15,11,11,7.579893753059953,"('01', '15')"
high,ROE,01,16,11,11,8.721271342360108,"('01', '16')"
high,ROE,01,01,12,12,0.0,"('01', '01')"
high,ROE,01,02,12,12,8.980206418487645,"('01', '02')"
high,ROE,01,03,12,12,7.540013690720193,"('01', '03')"
high,ROE,01,04,12,12,9.995530107621683,"('01', '04')"
high,ROE,01,05,12,12,9.462208142363336,"('01', '05')"
high,ROE,01,06,12,12,6.6931440375307085,"('01', '06')"
high,ROE,01,07,12,12,8.897653268188755,"('01', '07')"
high,ROE,01,08,12,12,8.69678077950589,"('01', '08')"
high,ROE,01,09,12,12,8.135067454390322,"('01', '09')"
high,ROE,01,10,12,12,7.454181302656236,"('01', '10')"
high,ROE,01,11,12,12,8.012178297557623,"('01', '11')"
high,ROE,01,13,12,12,8.535039294562637,"('01', '13')"
high,ROE,01,14,12,12,10.091406191745254,"('01', '14')"
high,ROE,01,15,12,12,9.0430603798252,"('01', '15')"
high,ROE,01,16,12,12,7.620793722714261,"('01', '16')"
high,ROE,01,01,13,13,0.0,"('01', '01')"
high,ROE,01,02,13,13,9.05411322003097,"('01', '02')"
high,ROE,01,03,13,13,7.004752249505587,"('01', '03')"
high,ROE,01,04,13,13,8.194922797617387,"('01', '04')"
high,ROE,01,05,13,13,10.633044750896723,"('01', '05')"
high,ROE,01,06,13,13,6.05504009340575,"('01', '06')"
high,ROE,01,07,13,13,7.872742323269969,"('01', '07')"
high,ROE,01,08,13,13,8.942415682342286,"('01', '08')"
high,ROE,01,09,13,13,7.059372296450253,"('01', '09')"
high,ROE,01,10,13,13,6.858735139807155,"('01', '10')"
high,ROE,01,11,13,13,7.321284577170235,"('01', '11')"
high,ROE,01,13,13,13,7.145346400725471,"('01', '13')"
high,ROE,01,14,13,13,10.756065142363719,"('01', '14')"
high,ROE,01,15,13,13,8.273615875541353,"('01', '15')"
high,ROE,01,16,13,13,6.266694873475497,"('01', '16')"
high,ROE,01,01,14,14,0.0,"('01', '01')"
high,ROE,01,02,14,14,10.719177222843818,"('01', '02')"
high,ROE,01,03,14,14,7.024255849187906,"('01', '03')"
high,ROE,01,04,14,14,6.009578425211181,"('01', '04')"
high,ROE,01,05,14,14,8.763497680635611,"('01', '05')"
high,ROE,01,06,14,14,6.019361885780148,"('01', '06')"
high,ROE,01,07,14,14,7.661949648939586,"('01', '07')"
high,ROE,01,08,14,14,7.979316317728495,"('01', '08')"
high,ROE,01,09,14,14,7.443200563107225,"('01', '09')"
high,ROE,01,10,14,14,8.688301684668627,"('01', '10')"
high,ROE,01,11,14,14,7.450453193839195,"('01', '11')"
high,ROE,01,13,14,14,7.5491934164707555,"('01', '13')"
high,ROE,01,14,14,14,10.38801050213565,"('01', '14')"
high,ROE,01,15,14,14,7.901995908745691,"('01', '15')"
high,ROE,01,16,14,14,8.076511161531885,"('01', '16')"
high,ROE,01,01,15,15,0.0,"('01', '01')"
high,ROE,01,02,15,15,8.537646156597102,"('01', '02')"
high,ROE,01,03,15,15,8.509203427241529,"('01', '03')"
high,ROE,01,04,15,15,9.59849846546924,"('01', '04')"
high,ROE,01,05,15,15,10.41045337760137,"('01', '05')"
high,ROE,01,06,15,15,7.319112698136938,"('01', '06')"
high,ROE,01,07,15,15,8.428890193456457,"('01', '07')"
high,ROE,01,08,15,15,9.70089569512345,"('01', '08')"
high,ROE,01,09,15,15,7.2373823354516995,"('01', '09')"
high,ROE,01,10,15,15,10.85368406013458,"('01', '10')"
high,ROE,01,11,15,15,8.018731103567443,"('01', '11')"
high,ROE,01,13,15,15,8.141667189383034,"('01', '13')"
high,ROE,01,14,15,15,10.173379761898808,"('01', '14')"
high,ROE,01,15,15,15,8.980704005737461,"('01', '15')"
high,ROE,01,16,15,15,7.9670747607491395,"('01', '16')"
high,ROE,01,01,16,16,0.0,"('01', '01')"
high,ROE,01,02,16,16,7.715971313137911,"('01', '02')"
high,ROE,01,03,16,16,6.469162320657726,"('01', '03')"
high,ROE,01,04,16,16,8.744748023968754,"('01', '04')"
high,ROE,01,05,16,16,8.58845369334019,"('01', '05')"
high,ROE,01,06,16,16,5.843179127176154,"('01', '06')"
high,ROE,01,07,16,16,8.788179173504659,"('01', '07')"
high,ROE,01,08,16,16,7.724483474083029,"('01', '08')"
high,ROE,01,09,16,16,6.928691253864909,"('01', '09')"
high,ROE,01,10,16,16,7.861397727439433,"('01', '10')"
high,ROE,01,11,16,16,6.568730696485927,"('01', '11')"
high,ROE,01,13,16,16,7.2353550905083095,"('01', '13')"
high,ROE,01,14,16,16,10.103783077708046,"('01', '14')"
high,ROE,01,15,16,16,7.772930851474892,"('01', '15')"
high,ROE,01,16,16,16,8.14655190097861,"('01', '16')"
high,ROE,01,01,17,17,0.0,"('01', '01')"
high,ROE,01,02,17,17,7.297451257839623,"('01', '02')"
high,ROE,01,03,17,17,6.37745567877644,"('01', '03')"
high,ROE,01,04,17,17,8.058830676815068,"('01', '04')"
high,ROE,01,05,17,17,9.110775111965758,"('01', '05')"
high,ROE,01,06,17,17,6.310859894748341,"('01', '06')"
high,ROE,01,07,17,17,6.908410939826399,"('01', '07')"
high,ROE,01,08,17,17,8.470520140328155,"('01', '08')"
high,ROE,01,09,17,17,6.581513477070799,"('01', '09')"
high,ROE,01,10,17,17,8.608552728374395,"('01', '10')"
high,ROE,01,11,17,17,7.543007958819642,"('01', '11')"
high,ROE,01,13,17,17,7.344869939906261,"('01', '13')"
high,ROE,01,14,17,17,8.444908444137434,"('01', '14')"
high,ROE,01,15,17,17,7.395640839841953,"('01', '15')"
high,ROE,01,16,17,17,8.228762798045747,"('01', '16')"
high,ROE,02,01,0,0,7.301901082507146,"('02', '01')"
high,ROE,02,02,0,0,0.0,"('02', '02')"
high,ROE,02,03,0,0,6.532415712079384,"('02', '03')"
high,ROE,02,04,0,0,5.732696146101788,"('02', '04')"
high,ROE,02,05,0,0,6.7446523369225035,"('02', '05')"
high,ROE,02,06,0,0,4.762637480864549,"('02', '06')"
